source	target
The drilling programme for well 16/1-16 A relates to drilling of an appraisal well in production licence 457.	Boreprogrammet for brønn 16/1-16 A gjeld boring av avgrensningsbrønn i utvinningsløyve 457.
This is why we follow up the industry throughout every phase of activity – from applications for licence award, through exploration activity, development and operation of fields, all the way through cessation.	På bakgrunn av dette følger vi næringen gjennom alle faser av virksomheten – fra søknader om tildeling, gjennom letevirksomnhet, utbygging og drift av felt og avslutning.
Total E&P Norge AS:	Total E&P Norge AS:
The formation tests showed moderate flow properties.	Formasjonstestene viste moderate strømningsegenskaper.
The well encountered an oil/gas/condensate column of about 85 metres in the Lunde formation, 40 metres of which were of moderate to good reservoir quality.	Brønnen påtraff enolje/gass/kondensat-kolonne på om lag 85 meter i Lundeformasjonen, hvorav 40 meter med moderat til god reservoarkvalitet.
In the Barents Sea, Statoil made an oil and gas discovery in well 7220/7-1 (the ”Havis” prospect) near the Skrugard discovery.	I Barentshavet har Statoil gjort et olje- og gassfunn i brønn 7220/7-1 (prospektet ”Havis”) like ved Skrugardfunnet.
This was also the year when Britain's Prince Charles and Princess Diana divorced, the discovery of Mad Cow disease in the UK, the cloning of Dolly the sheep, and the Atlanta Olympics.	1996 var ellers preget av Charles' og Dianas skilsmisse, påvisning av kugalskap i Storbritannia, kloning av sauen Dolly og de olympiske leker i Atlanta.
The well encountered a 6-metre oil column in Middle Jurassic reservoir rocks, which gave a shallower oil-water contact than previously determined.	Brønnen påtraff en 6 meter oljekolonne i midtre jura reservoarbergarter, som gir en grunnere olje-vannkontakt enn tidligere påvist.
2001: Statoil and Egil Sunde.	2001: Statoil og Egil Sunde.
According to the UN’s Intergovernmental Panel on Climate Change (IPCC), this figure must be reduced by 50-80 per cent before 2050.	Ifølge FNs klimapanel må utslippene kuttes med 50-80 prosent innen 2050 for at den globale oppvarmingen ikke skal overstige to grader, noe som tilsvarer tre-seks grader varmere vintervær i Norge.
The forum has since become global, and functions as a meeting place for authorities, oil companies and service and equipment suppliers.	Siden har forumet blitt verdensomspennende, og er en møteplass for myndigheter, oljeselskap og leverandører av tjenester og utstyr.
The oil production is about 5.6 percent above the NPD’s prognosis for the month.	Oljeproduksjonen er ca 5,6 prosent over OD sin prognose for april 2015.
The drilling programme for wellbore 6407/8-5 S concerns drilling of a wildcat well in production licence 348.	Boreprogrammet for brønnbane 6407/8-5 S gjelder boring av undersøkelsesbrønn i utvinningstillatelse 348.
The primary exploration target for the well was to prove petroleum in Middle Jurassic reservoir rocks (the Garn formation).	Primært letemål for brønnen var å påvise petroleum i midtre jura reservoarbergarter (Garnformasjonen).
”The winter conference covers all topics within the discipline – including geohazards, bedrock geology, Quaternary geology, geology and climate.	”Vinterkonferansen dekker alle tema innen faget – blant annet geofarer, berggrunnsgeologi, kvartærgeologi, geologi og klima.
Openness by everyone concerned is fundamental for such a development, he notes.	Grunnlaget for en slik utvikling er åpenhet:
In 1986, Hydro was awarded this task, while Shell became operator for the gas development of Troll Øst.	I 1986 ble Hydro tildelt denne oppgaven, mens Shell ble operatør for utbyggingen av gassen i Troll Øst.
If the case and document numbers are known from a public journal or other source, this must be stated.	Hvis saks- og dokumentnummer er kjent fra offentlig journal eller annen kilde, oppgis dette.
So such incomers also boost competition over acreage.	Nykommerne gir altså økt konkurranse, også om areal.
The item Investigations, etc. mainly covers expenses for geological and geophysical work and projects for the NPD’s mapping of the continental shelf.	Posten Undersøkelser m.v. dekker hovedsakelig utgifter til geologiske og geofysiske arbeider og prosjekter til ODs kartlegging av kontinentalsokkelen.
The job of the fishery expert is to contribute to avoiding conflicts between the seismic vessel and the fisheries.	Oppgaven til den fiskerikyndige er å bidra til å unngå konflikter mellom det seismiske fartøyet og fiskeriene.
The well’s primary exploration target was to prove petroleum in sandstone from the Middle Jurassic Age (the Brent group).	Primært letemål for brønnen var å påvise petroleum i sandsteiner av mellomjura alder (Brentgruppen).
The production licence was awarded in the 15th licensing round on the Norwegian shelf in 1996.	Utvinningsløyvet vart tildelt i 15. konsesjonsrunde på norsk sokkel i 1996.
Hydro is the operator with a 30 per cent ownership interest, along with Eni with 30 per cent, BG with 20 per cent and Petoro with 20 per cent.	Hydro er operatør med 30 prosentandel og Eni med 30 prosent, BG med 20 prosent og Petoro med 20 prosent.
Well 6406/12-3 B & A will be drilled from the Transocean Arctic drilling facility at position 64°01'52.37" north and 6°45'17.46" east after completing drilling of wildcat well 6406/12-3 B and appraisal well 6406/12-3 A for VNG Norge AS in the same production licence.	Brønn 6406/12-3 B & A skal borast frå boreinnretninga Transocean Arctic i posisjon 64°01'52,37" nord og 6°45'17,46" aust etter at undersøkingsbrønn 6406/12-3 S og avgrensingsbrønn 6406/12-3 B er ferdig bora for VNG Norge AS i same utvinningsløyve.
This permit is contingent upon the operator obtaining all permits and consents required by other authorities before the drilling activity commences.	Tillatelsen forutsetter at de øvrige tillatelser og samtykker som kreves av andre myndigheter, er gitt før boreaktiviteten starter.
Well 7/4-3 is the first exploration well in this production licence.	Brønn 7/4-3 er den første leitebrønnen i dette utvinningsløyvet.
Oil and gas were proven in wells 34/10-54 S and A, the latter drilled as a sidetrack.	I brønnene 34/10-54 S og A, den siste boret som sidesteg, er det påvist olje og gass.
This is 3.6 million Sm3 o.e. higher than in the same period last year.	Dette er 3,6 millionar Sm3 o.e. meir enn i same periode i 2007.
To be used in projects	Brukes i prosjekter
Press release Climate Cure 2020 Climate Cure 2020 shows how Norway can reduce emissions (Norwegian only)	Pressemelding Klimakur 2020 Klimakur 2020 viser hvordan Norge kan redusere utslippene
Gas production per month compared with last year (download graph in pdf format) (data.htm)	Gassproduksjon per måned sammenlignet med fjoråret (lenke til figuren i pdf) (Bakgrunnsdata.mht)
15/5-7 A was the fourth exploration well in production licence 048.	15/5-7 A er den fjerde letebrønnen i utvinningstillatelse 048.
These are the seventh and eighth exploration wells in production licence 501.	Dette er den sjuende og åttende letebrønnen i utvinningstillatelse 501.
The oil production is also about 2.0 percent below the cumulative prognosis this year.	Oljeproduksjonen ligg ca 2,0 prosent under prognosen så langt i 2012.
The purpose of the well was to prove petroleum in Middle Jurassic reservoir rocks (the Hugin formation).	Hensikten med brønnen var å påvise petroleum i midtre jura reservoarbergarter (Huginformasjonen).
Oil in produced water Water that comes up on to the platforms along with the wellstream is either injected back into the reservoir or cleaned and discharged.	Olje i produsert vann Vann som kommer opp på plattformene med brønnstrømmen, blir enten injisert tilbake til reservoaret eller renset og sluppet ut.
Harrier Explorer is now on its way to Jan Mayen to start seismic acquisition there.	Harrier Explorer er nå på vei til Jan Mayen for å starte seismikkinnsamling der.
The drilling program for wellbore 7220/7-1 applies to the drilling of a wildcat well in production licence 532.	Boreprogrammet for brønn 7220/7-1 gjelder boring av en undersøkelsesbrønn i utvinningstillatelse 532.
Preliminary calculations of the size of the discovery are between two and eight billion standard cubic metres (Sm3) of recoverable gas.	Foreløpige beregninger av størrelsen på funnet er mellom to og åtte milliarder standard kubikkmeter (Sm3) utvinnbar gass.
The purpose of this is to achieve faster, better decisions.	Hensikten med dette er å få til hurtigere og bedre beslutninger.
Polar Pioneer will now drill wildcat well 11/5-1 in production licence 317 in the North Sea.	Polar Pioneer skal nå bore undersøkelsesbrønn 11/5-1 i utvinningstillatelse 317 i Nordsjøen.
+47 51876027	+47 51876027
Water depth at the site is 101 metres.	Vanndypet er 101 meter.
(MSm3 o.e.), broken down as follows: about 35.4 MSm3 o.e. of oil, about 9.0 MSm3 o.e. of NGL and condensate and about 46.8 MSm3 o.e. of gas for sale.	Av dette er om lag 35,4 MSm3 o.e olje, om lag 9,0 MSm3 o.e NGL og kondensat, og det er selt om lag 46,8 MSm3 o.e gass.
None of the wells were formation tested, but comprehensive data gathering and sampling was conducted.	Ingen av brønnene ble formasjonstestet, men det er utført omfattende datainnsamling og prøvetaking.
Emissions to air	Utslipp til luft
Here Total has proven oil in wildcat well 25/5-9 in the Heimdal formation in the Palaeocene.	Her har Total påvist olje i undersøkelsesbrønn 25/5-9 i Heimdalformasjonen i paleocen.
Ongoing drilling activity	Pågående boringer
A total of 12 800 km of seismic will be acquired in the northeastern part of the Barents Sea.	Totalt skal det samles inn 12 800 kilometer seismikk nordøst i Barentshavet.
"Despite our modest marketing efforts, interest has been considerable.	"Til tross for at vi ikke har markedsført det veldig, har interessen vært stor.
This is the first wildcat well in production license 264, which covers blocks 6706/5, 6706/6 and 6707/4.	Dette er den første undersøkelsesbrønnen i utvinningstillatelse 264 som dekker blokkene 6706/5, 6706/6 og 6707/4.
The upper part of the Ness formation consisted of thin alternating layers of sandstone and carbon, but no hydrocarbons.	Den øvre delen av Nesseformasjonen bestod av vekslende tynne lag av sand og kull, men ingen hydrokarboner.
Well 34/11-6 S was drilled by the West Elara drilling facility, which is permanently stationed at the Valemon facility.	Brønn 34/11-6 S ble boret av boreinnretningen West Elara, som er permanent på Valemon-innretningen.
Reservoir rocks were also encountered in the Ile and Tilje formations as expected, but they were water-bearing.	I tillegg ble det påtruffet reservoarbergarter i Ile- og Tiljeformasjonene som forventet, men disse var vannførende.
The well was drilled about 30 kilometres southwest of 7220/8-1 Johan Castberg in the Barents Sea and about 240 kilometres north of Hammerfest.	Brønnen er boret om lag 30 kilometer sørvest for 7220/8-1 Johan Castberg i Barentshavet og om lag 240 kilometer nord for Hammerfest.
However, Ms Eriksen emphasises that the new player picture also presents challenges.	Sissel Eriksen understreker imidlertid at det nye aktørbildet byr på utfordringer:
If I stay in Norway a long time, I’ll try to get them over here.”	Hvis jeg blir i Norge lenge, vil jeg prøve å få dem hit, sier han.
The other licensees are Det norske oljeselskap ASA with 35 per cent and DEA Norge AS with 30 per cent.	Dei andre rettshavarane er Det norske oljeselskap ASA med 35 prosent og DEA Norge AS med 30 prosent.
The contracts apply for the period 2015 to 2020.	Kontraktene gjelder for perioden 2015 til 2020.
This is 46 000 barrels per day less than in December 2012.	Det er ein nedgang på 46 000 fat per dag samanlikna med desember 2012.
The total thickness of the entire interval from the Jurassic Age is 55 metres.	Den totale tykkelsen av hele intervallet av jura alder er 55 meter.
Water depth at the site is 288 metres.	Havdypet er 288 meter.
Well 16/1-22 A will be drilled from the Maersk Interceptor drilling facility in position 58°54’23.1’’ north and 02°09’43.2’’ east in production licence 001 B, after completing drilling of appraisal well 16/1-22 S.	Brønn 16/1-22 A skal borast frå boreinnretninga Maersk Interceptor i posisjon 58°54’23,1’’ nord og 02°09’43,2’’ aust i utvinningsløyve 001 B, etter at avgrensingsbrønn 16/1-22 S er ferdig bora.
The NPD has been in close contact with the USGS for many years concerning the best methodology for estimating yet undiscovered resources.	OD har i mange år vært samtalepartner med USGS om metoder for beregning av uoppdagede ressurser.
The well will be drilled from the Songa Delta drilling facility at position 64°18’59.30’’ north and 07°09’24.30’’ east.	Brønnen skal borast frå boreinnretninga Songa Delta i posisjon 64°18’59,30’’ nord og 07°09’24,30’’ aust.
In a major interview, petroleum and energy minister Tord Lien reminds the companies that they are still obliged to make the investment needed to recover profitable resources.	I et større intervju minner olje- og energiminister Tord Lien om at oljeselskapene uansett har en plikt til å gjøre nødvendige investeringer for å produsere lønnsomme ressurser.
When Valhall commenced operations in 1982, the license estimated that the field contained 39 million Sm3 of recoverable oil reserves.	Da Valhall kom i drift i 1982, het det at feltet inneholdt 39 millioner Sm3 utvinnbare oljereserver.
Low production in april is due to planned maintenence on Kvitebjørn, Njord, Skirne, Snorre and Vigdis together with the fact that Visund was shut-in during the whole month.	Lav produksjon i april skyldes planlagt vedlikeholdsstans på Kvitebjørn, Njord, Skirne, Snorre og Vigdis samt at Visund var stengt hele måneden.
Wells 6407/7-9 S and 6407/7-9 A were drilled by the Songa Delta drilling facility, which will now proceed to a plugging operation on Tune in production licence 190.	Brønnene 6407/7-9 S og 6407/7-9 A ble boret av boreinnretningen Songa Delta som nå skal videre til en pluggeoperasjon på Tune i utvinningstillatelse 190.
The authorities and the oil industry agree that there are too many accidental discharges.	Myndighetene og oljenæringen er enige om at det er for mange akutte utslipp.
Annual profits from international E&P in Statoil have been rising sharply, from NOK 1.1 billion in 2003 to NOK 2.8 billion in 2004 and NOK 5.3 billion in 2005.	Årsresultatet i internasjonal U&P (leting og produksjon) i Statoil har vist en sterk utvikling, fra 1,1 milliarder i 2003, til 2,8 i 2004 og 5,3 i 2005.
HI designed the project with input from a reference group where both fishery organisations and local politicians are represented.	HI har lagt opp prosjektet med innspill fra en referansegruppe, der både fiskernes organisasjoner og lokale politikere er representert.
The area in this licence consists of 318 732 km2 of block 7219/12 and 318 732 km2 of block 7220/10.	Arealet i dette løyvet består av 318,732 km2 av blokk 7219/12 og 318,732 km2 av blokk 7220/10.
Water depth is 126 metres.	Havdypet er 126 meter.
The primary exploration target for the well was proving petroleum in Middle and Early Jurassic reservoir rocks (Fangst and Båt groups).	Primært letemål for brønnen var å påvise petroleum i reservoarbergarter av mellom- og tidligjura alder (Fangst- og Båtgruppene).
Goliat The plan for development and operation (PDO) of the Goliat field in the Barents Sea was approved by the Storting on 19 June.	Goliat Det ble gitt godkjenning for utbygging og drift (PUD)av Goliatfeltet i Barentshavet i Stortinget 19. juni.
During this time the NPD’s website, FactPages and FactMaps will not be available.	I denne perioden er Oljedirektoratets nettsted, faktasider og faktakart ikke tilgjengelig.
“I think the programme at this conference is interesting from a technical perspective, even though I am not working with Greenland.	Jeg synes programmet på denne konferansen er faglig interessant, selv om jeg ikke jobber med Grønland.
Therefore, the NPD has great expectations for Johan Sverdrup as regards the use of new technology."	OD har derfor store forventninger til Johan Sverdrup med hensyn til å ta i bruk ny teknologi.»
The licence was awarded in APA 2009.	Tillatelsen ble tildelt i TFO 2009.
+47 51 87 64 52	51 87 64 52
Extensive data collection and sampling have been carried out, as well as a successful formation test.	Det er utført omfattende datainnsamling og prøvetaking samt en vellykket formasjonstest.
RWE Dea Norge is the operator, with an ownership interest of 40 per cent.	RWE Dea Norge er operatør med ein del på 40 prosent.
Mærsk Giant has recently drilled well 15/12-17 S.	Mærsk Giant har nettopp boret brønn 15/12-17 S.
Talisman is the operator (65%), and the other licensees are Petoro (30%) and Pertra (5%).	Talisman er operatør (65 %), med Petoro (30 %) og Pertra (5 %) som øvrige rettighetshavere.
The Norwegian Petroleum Directorate (NPD) is advising the oil authorities in Nigeria on how to reduce gas burning.	Oljedirektoratet gir råd til oljemyndighetene i Nigeria om hvordan gassbrenningen kan reduseres.
This will provide important knowledge regarding possible oil and gas resources in this area.	Dette vil gi viktig kunnskap om mulige olje- og gassressurser i dette området.
PIOs concerning gas transport and processing, or PDOs processing of gas transport in pipelines, Gassco must also receive a copy.	Ved PAD for gasstransport og -behandling, eller PUD hvor behandling av transport av gass i rør er inkludert, skal også Gassco ha en kopi.
The well was drilled eight kilometres southeast of the 30/11-8 S (Krafla) discovery and about 27 kilometres south of the Oseberg South facility in the North Sea.	Brønnen ble boret åtte kilometer sørøst for funnet 30/11-8 S (Krafla) og om lag 27 kilometer sør for Oseberg Sør-innretningen i Nordsjøen.
The primary exploration target for the well was to prove petroleum in reservoir rocks in the Early Permian (the Rotligende group).	Primært letemål for brønnen var å påvise petroleum i reservoarbergarter av tidlig perm alder (Rotliegendesgruppen).
The members of the programme committee have proposed and discussed their way to the topics of the conference, under considerable influence from the geologists’ varying backgrounds.	Temaene for konferansen har medlemmene i programkomiteen foreslått og diskutert seg frem til, under stor innflytelse av geologenes ulike bakgrunn.
”The NPD has surprisingly few employees with immigrant backgrounds in general, considering the industry we work with.	”OD har forbausende få ansatte med innvandrerbakgrunn generelt, sett i forhold til næringen vi jobber med.
Injection is a measure which has been used to reduce discharges from oil and gas production on the Norwegian shelf for several decades.	Injeksjon er brukt som tiltak for å redusere utslippene fra olje- og gassproduksjon på norsk sokkel i flere tiår.
The other reservoir rocks were dense or aquiferous.	De øvrige reservoarbergartene var tette eller vannførende.
Production licence 255 was awarded on 12 May 2000 in the 16th licencing round on the Norwegian shelf.	Utvinningsløyve 255 vart tildelt 12. mai 2000 i 16. konsesjonsrunde på norsk sokkel.
Total E&P Norge AS is the licensee with 22.2 per cent.	Total E&P Norge AS er rettshavar med 22,2 prosent.
Read OED's press release >>	Lenke: Pressemelding fra Olje- og enegidepartementet >>
Bauge was proven in 2013 (well 6407/8-6).	Bauge ble påvist i 2013 (brønn 6407/8-6).
Gullfaks B first came on stream in February 1988.	Gullfaks B begynte å produsere i februar 1988.
The objective of appraisal wells 16/1-26 S and 16/1-26 A was to prove additional recoverable oil resources in the southern part of the 16/1-7 discovery, in Middle Jurassic reservoir rocks (the Sleipner formation) closer to the main structure on the Ivar Aasen field.	Hensikten med avgrensningsbrønnene 16/1-26 S og 16/1-26 A var å påvise utvinnbare tilleggs-ressurser av olje i sørøstlig av 16/1-7-funnet i midtre jura reservoarbergarter (Sleipnerformasjonen) nærmere hovedstrukturen på Ivar Aasen-feltet.
The secondary exploration target was to prove petroleum in reservoir rocks from the Middle to Late Triassic Age (the Snadd formation).	Sekundært letemål var å påvise petroleum i reservoarbergarter av mellom- til sentrias alder (Snaddformasjonen).
Twelve assistant directors make up the NPD’s operative management.	Tolv underdirektører utgjør ODs operative ledelse.
This is the first well to be drilled in this licence.	Dette er den første brønnen som bores i tillatelsen.
“We have rapid decision processes, things do not take much time.	- Vi har kjappe beslutningsprosesser, ting tar ikke så lang tid.
This is the second wildcat well drilled in the block.	Brønnen var en forpliktelsesbrønn, og er den andre undersøkelsesbrønnen boret i blokken.
Burning gas in flares is a necessary safety measure on the facilities to prevent explosions e.g. in pressurised systems.	Brenning av gass i fakkel er nødvendig som et sikringstiltak på innretningene for å hindre eksplosjon blant annet i trykksatte system.
The graphical layout will be updated when the final version is posted.	Også grafisk layout vil blir oppdatert når den endelige versjonen legges ut.
Oil and gas prices are low, few discoveries are made and exploration activity declines.	Olje- og gassprisene er lave, det gjøres få funn, og leteaktiviteten avtar.
Production licence 001 B was carved out on 1 September 1999 from production licence 001, which was awarded on 1 September 1965 (Licensing Round 1-A).	Utvinningsløyve 001 B blei skild ut den 1. september 1999 frå utvinningsløyve 001, som blei delt ut 1. september 1965 (konsesjonsrunde 1-A).
Support has also been provided by the Research Council of Norway through its Petromaks project.	Norges forskningsråd har også medverka økonomisk gjennom Petromaks-programmet.
The water depth is 1262 metres.	Havdypet er 1262 meter.
Congratulations on this major milestone.	Gratulerer med en stor begivenhet.
The discovery, 16/2-8 ("Aldous Major South”), was proven in August 2011 in Upper and Middle Jurassic reservoir rocks with the same oil/water contact as in the 16/2-6 (”Avaldsnes”) discovery well, which was proven in September 2010.	Funnet 16/2-8 ("Aldous Major South”) ble påvist i august 2011 i øvre og midtre jura reservoarbergarter med samme olje/vann-kontakt som i funnbrønnen 16/2-6 (”Avaldsnes”) som ble påvist i september 2010.
This entails that the acquisition activity in the Barents Sea East will take place for two to three months.	Det innbærer at innsamlingen i østlig del av Barentshavet Sør vil foregå i to - tre måneder.
The other licensees are RWE Dea Norge AS (20 per cent) and Wintershall Norge ASA (30 per cent).	Dei andre rettshavarane er RWE Dea Norge AS (20 prosent) og Wintershall Norge ASA (30 prosent).
The well was not production tested, but extensive logging and sampling were carried out for further evaluation of the discovery.	Brønnen ble ikke produksjonstestet, men det ble gjennomført omfattende logging og prøvetaking for videre evaluering av funnet.
Our management plan sets clear limits for how far north we can go.	Vår forvaltningsplan setter en klar grense for hvor langt nord vi kan gå.
Both wells were concluded in the Skagerrak formation from the Late Triassic.	Begge ble avsluttet i Skagerrakformasjonen fra sentrias.
The drilling rig will now leave the location to drill a production well on the Norne field.	Boreinnretningen vil nå forlate lokasjonen for å bore en produksjonsbrønn på Nornefeltet.
This is the fifth exploration well to be drilled in the licence.	Dette er den femte leitebrønnen som bli bora i løyvet.
Well 6407/12-3 was drilled to a vertical depth of 1950 metres below the sea surface, and was terminated in the Ile formation in the Middle Jurassic.	Brønn 6407/12-3 ble boret til et vertikalt dyp av 1950 meter under havflaten, og ble avsluttet i Ileformasjonen i midtre jura.
February 2005	Februar 2005
Production licence 568 was awarded on 4 February 2011 (APA 2010).	Utvinningsløyve 568 vart delt ut 4. februar 2011 (TFO 2010).
Roughly 35 exploration wells are due to be spudded in 2007, an increase of 12 from last year.	I 2007 blir det påbegynt rundt 35 letebrønner.
Fram H-Nord	Fram H-Nord
In the worst case, an accident during the preparation operation, refloating, towing or dismantling could have serious consequences such as loss of human lives and damage to the environment.	I verste fall kan en ulykke under forberedelsesoperasjonen, heving, tauing eller riving ha alvorlige konsekvenser som tap av menneskeliv og skade på miljøet.
Well 7220/11-4 A will be drilled from the Leiv Eiriksson drilling facility, at position 72o2' 27.88" north and 20o33' 7.97" east.	Brønn 7220/11-4 A skal borast frå boreinnretninga Leiv Eiriksson i posisjon 72o2' 27,88" nord og 20o33' 7,97" aust.
History in brief - “The chances of finding coal, oil or sulphur on the continental shelf off the Norwegian coast can be discounted.”	Glimt fra historien ”Man kan se bort fra muligheten for at det skulle finnes kull, olje eller svovel på kontinentalsokkelen langs den norske kyst.”
This well, also drilled from the Murchison facility, was dry.	Denne brønnen, som også ble også boret fra Murchison-innretningen, var tørr.
Map of the Flyndre field	Kart som viser Flyndre-feltet
Annual global emissions of greenhouse gases now total some 40 million tonnes of carbon equivalent.	Samlede globale utslipp av klimagasser utgjør nå rundt 40 millioner tonn CO2-ekvivalenter.
Obviously, this uncertainty is greatest in the areas that are not yet open for petroleum activity.	Usikkerheita er sjølvsagt størst i dei områda som ennå ikkje er opna for petroleumsverksemd.
Norway's limit proposal for the continental shelf will be submitted next summer.	Norges forslag til yttergrenser for kontinentalsokkelen blir levert neste sommer.
Read the letter >>	Les brevet >>
The objective of well 7/1-2 S was to evaluate the potential for hydrocarbons in rocks of Jurassic age in a prospect called Yoda.	Formålet med brønn 7/1-2 S var å undersøke muligheten for å finne hydrokarboner i jurassiske bergarter i et prospekt kalt Yoda.
Production licence 038 was awarded as a supplement to the 3rd licensing round in 1975.	Utvinningstillatelse 038 ble tildelt som tillegg til 3. runde i 1975.
Gullfaks B could also be a relevant host platform for new deposits in the area.	Gullfaks B kan også være en aktuell vertsplattform for nye forekomster i området.
Preliminary calculations of the size of the discovery are between one and four billion standard cubic metres (Sm3) of recoverable gas.	Foreløpige beregninger av størrelsen på funnet er mellom en og fire milliarder standard kubikkmeter (Sm3) utvinnbar gass.
The area in the licence consists of the northern part of block 15/12.	Arealet i dette løyvet består av den nordlege delen av blokk 15/12.
Eldbjørg Vaage Melberg, tel.	Eldbjørg Vaage Melberg, tlf.
Well 6507/3-11 S will be drilled from the Borgland Dolphin drilling facility in position 65°48’59.60” north and 7°50’14.0”east.	Brønn 6507/3-11 S skal borast frå boreinnretninga Borgland Dolphin i posisjon 65°48`59,60" nord og 7°50´14,0" aust.
January 2005	Januar 2005
The well was not formation tested, but extensive data collection and sampling were conducted.	Brønnen ble ikke formasjonstestet, men det er utført omfattende datainnsamling og prøvetaking.
The seismic data acquisition was carried out in a defined section (approx. 15 x 85 km) of the area outside Vesterålen known as Nordland VII.	Den seismiske datainnsamlingen ble gjennomført i en avgrenset del (rundt 15 ganger 85 kilometer) av området utenfor Vesterålen som kalles Nordland VII.
The Polar Pioneer drilling facility is currently completing well 7122/7-4 for ENI.	Boreinnretningen Polar Pioneer holder på og avslutter brønn 7122/7-4 for ENI.
The well will be drilled about 32.8 kilometres northeast of the 16/2-6 discovery well on the Johan Sverdrup field and about 112 kilometres from Stavanger.	Brønnen blir bora 32,8 kilometer nordaust for funnbrønnen 16/2-6 på Johan Sverdrupfeltet og om lag 112 kilometer frå Stavanger.
The primary exploration target in well 6407/8-7 was to prove petroleum in Middle Jurassic reservoir rocks (the Ile formation).	Primært letemål i brønn 6407/8-7 var å påvise petroleum i midtre jura reservoarbergarter (Ileformasjonen).
In addition, an advisory expert panel has been appointed, which ensures quality control of the status of the injection wells.	I tillegg er det etablert en rådgivende ekspertgruppe som kvalitetskontrollerer status på injeksjonsbrønnene.
The primary objective for this well was to investigate the potential for oil in a prospect from the Tertiary Age called Midway, located southwest of the Grane field in the North Sea.	Det primære målet for brønnen var å undersøke potensialet for olje i et prospekt av tertiær alder kalt Midway, lokalisert sørvest for Granefeltet i Nordsjøen.
This is the second exploration well to be drilled in the licence, but exploration wells have previously been drilled within the area covered by this licence.	Dette er den andre leitebrønnen som vert bora i løyvet, men det er bora leitebrønnar tidlegare innanfor det arealet dette løyvet dekker.
The other licensees are Wintershall Norge AS with 30 per cent and OMV (Norge) AS with 20 per cent.	Dei andre rettshavarane er Wintershall Norge AS med 30 prosent og OMV (Norge) AS med 20 prosent.
To change back to the original size, press Ctrl + 0.	For å endre tilbake til den opprinnelige størrelsen, trykker du Ctrl + 0.
We have prepared a small brochure that will be distributed at the stand; here is a link to it.	Det er laget en liten trykksak som deles ut på standen, her er en lenke til den.
Well 2/5-14 S was drilled by the Mærsk Gallant drilling facility at a depth of 67 metres.	Brønn 2/5-14 S ble boret av innretningen Mærsk Gallant på 67 meter havdyp.
Literature also reveals some data from drilling carried out in the Russian part of the Barents Sea.	Fra litteraturen finnes det også noe data fra boringer på russisk sokkel i Barentshavet.
It has also become easier to download and export information to other software systems, such as excel.	Det er også blitt lettare å laste ned og eksportere informasjon til andre system, som til dømes excel.
Jan–Dec 2008	Jan-des 2008
See the film from the survey.	Se film om seismikkinnsamlingen.
The temperature in the rocks in the Norwegian Sea rises more rapidly as depth increases compared with the Gulf of Mexico, and temperatures up to 140-150 degrees C have been recorded.	Temperaturen i bergartene i Norskehavet øker raskere mot dypet enn i Mexicogolfen, og det er målt temperaturer opp mot 140-150 grader C.
The well was drilled by the Transocean Leader drilling facility, which will now carry out permanent plugging of a previous discovery well, 25/11-16 (Svalin), in the same production licence.	Brønnen ble boret av boreinnretningen Transocean Leader, som nå skal foreta en permanent plugging av tidligere funnbrønn 25/11-16 (Svalin) i samme utvinningstillatelse.
Produced water will be cleaned and reinjected into the reservoir.	Produsert vann skal renses og reinjiseres i reservoaret.
Hans Augedal, chief geologist in Lundin and chairman of the Force Management Committee	Hans-Oddvar Augedal, sjefgeolog i Lundin og leder for Force’ styringskomite
Today, there is a six-week waiting list for such visits.	I dag er det seks ukers ventetid for slike besøk.
Including such types as gneiss, granite, quartz and mica schists, these either originated deep beneath the Earth's crust or have been fundamentally altered by folding and compression.	På land har vi bergarter med opprinnelse dypt nede i undergrunnen, som gneis, granitt, kvartsitt og glimmerskifer (smeltebergarter), eller som er voldsomt omdannet av overskyving og sammenpressing (metamorfe bergarter).
Preliminary estimates suggest the scheme will cost between NOK 13 and 15 million.	Foreløpige beregninger tyder på at ordningen kan koste mellom 13 og 15 millioner kroner.
After drilling well 35/9-7, the resource estimate for the discovery was between 10 and 25 million standard cubic metres (Sm3) of recoverable oil.	Etter boring av brønn 35/9-7 var ressursanslaget for funnet på mellom 10 og 25 millioner standard kubikkmeter (Sm3) utvinnbar olje.
If the shelf is electrified without production of pollution-free electricity in Norway, it is uncertain whether the result will be a net reduction of CO2 overall.	Dersom sokkelen blir elektrifisert uten at det produseres forurensingsfri elektrisitet i Norge, er det usikkert om resultatet blir netto utslippsreduksjon av CO2 totalt sett.
The primary exploration target for the well was to prove petroleum in Lower Jurassic and Upper Triassic reservoir rocks (the Åre formation).	Primært letemål for brønnen var å påvise petroleum i nedre jura og øvre trias reservoarbergarter (Åreformasjonen).
In the opened part of the Barents Sea and the northern Barents Sea, the expected figure for undiscovered resources is 960 million Sm3 o.e.	I den åpnede områder av Barentshavet og i Barentshavet nord er forventede uoppdagede ressurser 960 millioner Sm3 o.e.
The well is the 16th exploration well in production licence 501.	Brønnen er den 16. letebrønnen i utvinningstillatelse 501.
The water depth is 338 metres.	Havdypet er 338 meter.
This data has contributed to increase understanding of the geology in complex areas.	Disse dataene har bidratt til å øke forståelsen av geologien i komplekse områder.
